Tiro aperto,"GENERALE
(si applica a tutte le manovre statiche non comprese nelle altre colonne)",INFLUENZA E INTERAZIONE,DISATTIVARE TRAPPOLE E SCASSINARE SERRATURE,LETTURA RUNE ED USO DI OGGETTI MAGICI,PERCEZIONE E SEGUIRE TRACCE
-16,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-15,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-14,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-13,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-12,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-11,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-10,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-9,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-8,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-7,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-6,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-5,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-4,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-3,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-2,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-1,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
0,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
